Session started: 2025-11-03 10:47:11
TIME(s)	TYPE	MESSAGE
6266	Edit	Move node (node)
6267	Edit	Move node (node)
6276	Edit	Edit SET (flownode)
6279	Edit	Move node (node)
6282	Edit	Add ACT (flownode)
6283	Edit	Move node (node)
6284	Edit	Connect node (flownode)
6286	Edit	Connect node (flownode)
6294	Edit	Edit ACT (flownode)
6299	Edit	Add ACT (flownode)
6300	Edit	Move node (node)
6301	Edit	Connect node (flownode)
6302	Edit	Move node (node)
6331	Edit	Edit ACT (flownode)
6333	Edit	Move node (node)
6338	Edit	Move node (node)
6362	Edit	Edit ACT (flownode)
6382	Edit	Move node (node)
6414	Edit	Edit DIALOG (flownode)
6447	Misc	Save
6469	Edit	Add 14 nodes (flownode)
6472	Edit	Move tree (node)
6476	Edit	Connect node (flownode)
6549	Edit	Edit DIALOG (flownode)
6570	Edit	Edit ACT (flownode)
6573	Edit	Edit ACT (flownode)
6577	Edit	Edit ACT (flownode)
6587	Edit	Edit ACT (flownode)
6606	Edit	Move tree (node)
6660	Edit	Add DIALOG (flownode)
6662	Edit	Move node (node)
6663	Edit	Connect node (flownode)
6674	Edit	Edit DIALOG (flownode)
6679	Edit	Connect node (flownode)
6680	Edit	Move node (node)
6682	Edit	Move node (node)
6704	Edit	Disconnect node (flownode)
6706	Edit	Add FORK (flownode)
6707	Edit	Move node (node)
6709	Edit	Connect node (flownode)
6712	Edit	Move node (node)
6714	Edit	Connect node (flownode)
6721	Edit	Add DIALOG (flownode)
6722	Undo	Add DIALOG (flownode)
6724	Edit	Add ACT (flownode)
6735	Edit	Edit ACT (flownode)
6737	Edit	Connect node (flownode)
6739	Edit	Move node (node)
6742	Edit	Move node (node)
6756	Edit	Disconnect node (flownode)
6759	Edit	Connect node (flownode)
6761	Edit	Move node (node)
6762	Edit	Move node (node)
6766	Edit	Move node (node)
6767	Edit	Move node (node)
6769	Edit	Move node (node)
6771	Edit	Move node (node)
6772	Edit	Move node (node)
6773	Edit	Move node (node)
6775	Edit	Move node (node)
6776	Edit	Move node (node)
6779	Edit	Move node (node)
6782	Edit	Move node (node)
6791	Misc	Save
6795	Misc	Play
6851	Misc	Stop play (forced)
6852	Misc	Play
6887	Misc	Stop play
6892	Edit	Move node (node)
6924	Edit	Edit ACT (flownode)
6967	Edit	Edit ACT (flownode)
6971	Edit	Move node (node)
6999	Edit	Edit DIALOG (flownode)
7000	Edit	Move node (node)
7002	Edit	Move node (node)
7003	Edit	Move node (node)
7004	Edit	Move node (node)
7005	Edit	Move node (node)
7011	Edit	Edit SET (flownode)
7013	Edit	Move node (node)
7014	Edit	Move node (node)
7033	Edit	Edit ACT (flownode)
7035	Edit	Move node (node)
7038	Edit	Move node (node)
7047	Edit	Delete ACT (flownode)
7051	Edit	Add FORK (flownode)
7052	Edit	Move node (node)
7053	Edit	Connect node (flownode)
7054	Edit	Connect node (flownode)
7059	Edit	Add ACT (flownode)
7072	Edit	Edit ACT (flownode)
7073	Edit	Move node (node)
7074	Edit	Connect node (flownode)
7076	Edit	Connect node (flownode)
7078	Edit	Move node (node)
7079	Edit	Move node (node)
7081	Edit	Move node (node)
7082	Edit	Move node (node)
7083	Edit	Move node (node)
7086	Edit	Add FORK (flownode)
7100	Edit	Move node (node)
7101	Edit	Move node (node)
7102	Edit	Move node (node)
7104	Edit	Move node (node)
7106	Edit	Move node (node)
7117	Edit	Move node (node)
7118	Edit	Move node (node)
7143	Edit	Edit DIALOG (flownode)
7155	Edit	Connect node (flownode)
7156	Edit	Move node (node)
7158	Edit	Move node (node)
7159	Edit	Move node (node)
7163	Edit	Move node (node)
7183	Edit	Move node (node)
7325	Edit	Edit DIALOG (flownode)
7326	Misc	Save
7329	Misc	Export chapter
7346	Misc	Load chapter 1
7349	Misc	Quit
