Session started: 2025-11-06 13:20:58
TIME(s)	TYPE	MESSAGE
=======	====	=======
0	Misc	Load chapter 1
2	Misc	Show help idx 1
352	Edit	Set background for CR3
572	Edit	Add 14 nodes (flownode)
625	Edit	Edit DIALOG (flownode)
635	Edit	Edit SET (flownode)
639	Edit	Edit SET (flownode)
650	Edit	Edit ACT (flownode)
657	Edit	Edit ACT (flownode)
663	Edit	Edit ACT (flownode)
687	Edit	Delete ACT (flownode)
691	Edit	Connect node (flownode)
694	Edit	Connect node (flownode)
695	Edit	Move node (node)
700	Edit	Move node (node)
702	Edit	Move node (node)
718	Edit	Disconnect node (flownode)
720	Edit	Disconnect node (flownode)
724	Edit	Add DIALOG (flownode)
739	Edit	Edit DIALOG (flownode)
756	Edit	Connect node (flownode)
758	Edit	Connect node (flownode)
759	Edit	Move node (node)
763	Edit	Connect node (flownode)
764	Edit	Move node (node)
767	Edit	Move node (node)
768	Misc	Save
782	Edit	Delete ACT (flownode)
786	Edit	Add DIALOG (flownode)
787	Edit	Connect node (flownode)
788	Edit	Connect node (flownode)
799	Edit	Edit DIALOG (flownode)
802	Edit	Connect node (flownode)
802	Edit	Move node (node)
804	Edit	Move node (node)
805	Edit	Move node (node)
806	Edit	Move node (node)
807	Edit	Move node (node)
895	Edit	Add DIALOG (flownode)
898	Edit	Delete DIALOG (flownode)
899	Edit	Add ACT (flownode)
942	Edit	Edit ACT (flownode)
947	Edit	Move node (node)
949	Edit	Connect node (flownode)
950	Edit	Connect node (flownode)
952	Edit	Move node (node)
952	Edit	Move node (node)
954	Edit	Move node (node)
982	Edit	Edit DIALOG (flownode)
986	Edit	Move node (node)
988	Edit	Move node (node)
989	Edit	Move node (node)
991	Edit	Move node (node)
992	Edit	Move node (node)
993	Edit	Move node (node)
994	Edit	Move node (node)
995	Edit	Move node (node)
996	Edit	Move node (node)
997	Edit	Move node (node)
999	Edit	Move node (node)
1029	Edit	Edit ACT (flownode)
1031	Edit	Move node (node)
1032	Edit	Move node (node)
1041	Edit	Edit CONDITION (flownode)
1048	Edit	Edit ACT (flownode)
1317	Edit	Edit DIALOG (flownode)
1360	Edit	Move node (node)
1361	Edit	Move node (node)
1361	Edit	Move node (node)
1370	Edit	Move node (node)
1388	Edit	Move node (node)
1389	Edit	Move node (node)
1390	Edit	Move node (node)
1398	Edit	Add SET (flownode)
1400	Edit	Move node (node)
1403	Edit	Disconnect node (flownode)
1404	Edit	Connect node (flownode)
1405	Edit	Move node (node)
1408	Edit	Move node (node)
1409	Edit	Move node (node)
1410	Edit	Move node (node)
1411	Edit	Connect node (flownode)
1412	Edit	Move node (node)
1413	Edit	Move node (node)
1413	Edit	Move node (node)
1432	Edit	Edit SET (flownode)
1434	Edit	Move node (node)
1440	Edit	Move node (node)
1441	Edit	Move node (node)
1443	Edit	Move node (node)
1444	Edit	Move node (node)
1452	Edit	Move node (node)
1484	Edit	Delete CONDITION (flownode)
1488	Edit	Move node (node)
1490	Edit	Move node (node)
1495	Edit	Add ACT (flownode)
1506	Edit	Edit ACT (flownode)
1507	Edit	Move node (node)
1508	Edit	Connect node (flownode)
1510	Edit	Move node (node)
1511	Edit	Move node (node)
1514	Edit	Delete ACT (flownode)
1515	Edit	Delete ACT (flownode)
1517	Edit	Move node (node)
1530	Edit	Connect node (flownode)
1534	Edit	Move node (node)
1537	Edit	Move node (node)
1537	Edit	Move node (node)
1571	Edit	Edit DIALOG (flownode)
1572	Edit	Move node (node)
1574	Edit	Disconnect node (flownode)
1577	Edit	Connect node (flownode)
1578	Edit	Move node (node)
1601	Edit	Edit SET (flownode)
1604	Edit	Edit SET (flownode)
