Session started: 2025-11-06 13:20:58
TIME(s)	TYPE	MESSAGE
1614	Edit	Edit SET (flownode)
1617	Edit	Edit SET (flownode)
1633	Edit	Move node (node)
1634	Edit	Move node (node)
1637	Edit	Move node (node)
1638	Edit	Move node (node)
1640	Edit	Move node (node)
1645	Edit	Edit ACT (flownode)
1646	Edit	Move node (node)
1647	Edit	Move node (node)
1649	Edit	Connect node (flownode)
1650	Edit	Move node (node)
1651	Edit	Move node (node)
1652	Edit	Move node (node)
1654	Edit	Move node (node)
1656	Misc	Save
1696	Misc	Play
1733	Misc	Stop play (forced)
1749	Misc	Play
1778	Misc	Stop play (forced)
1782	Edit	Move Alex
1784	Edit	Move Devin
1788	Edit	Add Door (interact)
1793	Edit	Add TRANSIT (flownode)
1794	Edit	Move node (node)
1796	Edit	Connect node (flownode)
1797	Edit	Move node (node)
1801	Edit	Edit TRANSIT (flownode)
1807	Edit	Add Door (interact)
1810	Edit	Add TRANSIT (flownode)
1812	Edit	Connect node (flownode)
1812	Edit	Move node (node)
1815	Edit	Edit TRANSIT (flownode)
1821	Edit	Add Door (interact)
1823	Edit	Add TRANSIT (flownode)
1825	Edit	Move node (node)
1826	Edit	Connect node (flownode)
1830	Edit	Edit TRANSIT (flownode)
1830	Misc	Save
1833	Misc	Play
1857	Misc	Stop play (forced)
1862	Edit	Move node (node)
1866	Edit	Move node (node)
1869	Edit	Move node (node)
1876	Misc	Play
1934	Misc	Stop play (forced)
1940	Edit	Move node (node)
1942	Edit	Move node (node)
1943	Edit	Connect node (flownode)
1944	Edit	Move node (node)
1946	Misc	Save
1959	Misc	Play
2000	Misc	Stop play
2010	Misc	Play (debug)
2109	Misc	Stop play
2116	Edit	Move CD2
2117	Edit	Move CD1
2118	Edit	Move CD2
2119	Edit	Move CD1
2127	Edit	Add Coffin (interact)
2134	Edit	Add CODE (flownode)
2135	Edit	Move node (node)
2136	Edit	Move node (node)
2138	Edit	Add CODE (flownode)
2139	Edit	Move node (node)
2165	Edit	Edit CODE (flownode)
2172	Edit	Edit CODE (flownode)
2177	Edit	Add CONDITION (flownode)
2190	Edit	Edit CONDITION (flownode)
2191	Edit	Move node (node)
2192	Edit	Connect node (flownode)
2193	Edit	Connect node (flownode)
2194	Edit	Connect node (flownode)
2195	Edit	Move node (node)
2196	Edit	Move node (node)
2205	Edit	Disconnect node (flownode)
2206	Edit	Disconnect node (flownode)
2207	Edit	Move node (node)
2207	Edit	Move node (node)
2208	Edit	Move node (node)
2209	Edit	Connect node (flownode)
2211	Edit	Connect node (flownode)
2211	Edit	Move node (node)
2212	Edit	Move node (node)
2213	Edit	Move node (node)
2215	Misc	Save
2242	Misc	Play
2261	Misc	Stop play (forced)
2277	Edit	Move C
2278	Edit	Move Coffin
2280	Edit	Move CD2
2281	Edit	Move CD1
2281	Edit	Move CD2
2282	Edit	Move Coffin
2283	Edit	Move CD3
2284	Edit	Move CD2
2285	Edit	Move CD1
2285	Edit	Move CD3
2287	Edit	Move Coffin
2289	Edit	Move CD3
2289	Edit	Move CD2
2292	Edit	Move CD3
2312	Edit	Zoom changed Coffin
2312	Edit	Image offset changed Coffin
2312	Edit	Set sprite for Coffin
2316	Edit	Zoom changed Coffin
2319	Edit	Zoom changed Coffin
2321	Edit	Image offset changed Coffin
2327	Edit	Zoom changed Coffin
2329	Misc	Save
2333	Misc	Play
2342	Misc	Load chapter 0
2346	Misc	Stop play (forced)
2346	Misc	Load chapter 1
2353	Edit	Image offset changed Coffin
2358	Edit	Move node (node)
2359	Edit	Move node (node)
2363	Edit	Disconnect node (flownode)
2364	Edit	Disconnect node (flownode)
2367	Edit	Add ACT (flownode)
2375	Edit	Edit ACT (flownode)
2376	Edit	Move node (node)
2378	Edit	Move node (node)
2379	Edit	Connect node (flownode)
2380	Edit	Connect node (flownode)
2383	Edit	Add ACT (flownode)
2385	Edit	Connect node (flownode)
2386	Edit	Connect node (flownode)
2434	Edit	Edit ACT (flownode)
2452	Edit	Move node (node)
2453	Edit	Move node (node)
2456	Edit	Edit ACT (flownode)
2458	Edit	Move node (node)
2460	Edit	Move node (node)
2461	Edit	Move node (node)
2462	Edit	Move node (node)
2463	Edit	Move node (node)
2466	Edit	Move node (node)
2478	Edit	Move node (node)
2482	Misc	Save
2494	Misc	Play
2505	Misc	Load chapter 0
2508	Misc	Load chapter 1
2527	Misc	Stop play (forced)
2533	Misc	Play
2573	Misc	Load chapter 0
2577	Misc	Stop play (forced)
2577	Misc	Load chapter 1
2596	Edit	Move node (node)
2597	Edit	Move node (node)
2598	Edit	Move node (node)
2601	Edit	Move node (node)
2603	Edit	Move node (node)
2604	Edit	Move node (node)
2605	Edit	Move node (node)
2607	Edit	Move node (node)
2607	Misc	Save
2644	Misc	Play
2669	Misc	Load chapter 0
2674	Misc	Load chapter 1
2764	Misc	Load chapter 0
2820	Misc	Load chapter 1
2840	Misc	Load chapter 0
2843	Misc	Load chapter 1
3100	Misc	Load chapter 0
3350	Misc	Stop play (forced)
3350	Misc	Load chapter 1
3538	Edit	Move node (node)
3707	Edit	Move node (node)
3710	Edit	Move tree (node)
3713	Edit	Move node (node)
3718	Edit	Disconnect node (flownode)
3721	Edit	Add DIALOG (flownode)
3723	Edit	Move node (node)
3736	Edit	Add FORK (flownode)
3737	Edit	Move node (node)
3739	Edit	Connect node (flownode)
3740	Edit	Move node (node)
3751	Edit	Move node (node)
3760	Edit	Move node (node)
3765	Edit	Move node (node)
3767	Edit	Delete FORK (flownode)
3774	Edit	Move node (node)
3789	Edit	Add FORK (flownode)
3790	Edit	Move node (node)
3790	Edit	Move node (node)
3800	Edit	Move node (node)
3833	Edit	Edit DIALOG (flownode)
3834	Edit	Move node (node)
3843	Edit	Connect node (flownode)
3848	Edit	Move node (node)
3862	Edit	Move node (node)
3864	Edit	Move node (node)
3867	Edit	Connect node (flownode)
3868	Edit	Move node (node)
3869	Edit	Move node (node)
3871	Edit	Connect node (flownode)
3873	Edit	Move node (node)
3874	Edit	Move node (node)
3876	Edit	Move node (node)
3893	Edit	Move node (node)
3896	Edit	Add ACT (flownode)
3898	Edit	Connect node (flownode)
3899	Edit	Move node (node)
3916	Edit	Edit ACT (flownode)
3919	Edit	Connect node (flownode)
3920	Edit	Move node (node)
3923	Edit	Move node (node)
3925	Edit	Move node (node)
4124	Edit	Edit ACT (flownode)
4127	Edit	Move node (node)
4223	Edit	Edit ACT (flownode)
4239	Edit	Move node (node)
4241	Edit	Move node (node)
4322	Edit	Edit ACT (flownode)
4323	Misc	Save
4326	Edit	Move node (node)
4327	Edit	Move node (node)
4328	Edit	Move node (node)
4330	Edit	Move node (node)
4343	Edit	Move node (node)
4346	Edit	Add DIALOG (flownode)
4348	Edit	Move node (node)
4349	Edit	Connect node (flownode)
4352	Edit	Connect node (flownode)
4363	Edit	Edit DIALOG (flownode)
4365	Edit	Move node (node)
4370	Edit	Move node (node)
4372	Edit	Move node (node)
4373	Edit	Move node (node)
4375	Edit	Move node (node)
4378	Edit	Move node (node)
4379	Edit	Move node (node)
4381	Edit	Move node (node)
4383	Edit	Move node (node)
4385	Edit	Move node (node)
4413	Misc	Play
4486	Misc	Stop play
4502	Edit	Edit ACT (flownode)
4518	Edit	Edit ACT (flownode)
4521	Edit	Edit ACT (flownode)
4528	Edit	Move node (node)
4537	Edit	Edit ACT (flownode)
4549	Edit	Edit ACT (flownode)
4550	Misc	Save
4562	Misc	Play
4621	Misc	Stop play
4653	Misc	Variable usage
4657	Misc	Load chapter 0
4657	Misc	Load chapter 1
4657	Misc	Load chapter 0
4657	Misc	Load chapter 1
4679	Edit	Move node (node)
4680	Edit	Move node (node)
4683	Edit	Move node (node)
4784	Edit	Edit ACT (flownode)
4901	Edit	Edit ACT (flownode)
4904	Edit	Edit ACT (flownode)
4947	Edit	Edit ACT (flownode)
4952	Edit	Move node (node)
4961	Edit	Move node (node)
4965	Edit	Move node (node)
5023	Edit	Move tree (node)
5024	Edit	Disconnect node (flownode)
5029	Edit	Add ACT (flownode)
5058	Edit	Edit ACT (flownode)
5060	Edit	Move node (node)
5061	Edit	Connect node (flownode)
5061	Edit	Move node (node)
5062	Edit	Connect node (flownode)
5066	Edit	Move node (node)
5068	Edit	Disconnect node (flownode)
5068	Edit	Move node (node)
5070	Edit	Move node (node)
5074	Edit	Move node (node)
5076	Edit	Move node (node)
5077	Edit	Add DIALOG (flownode)
5078	Edit	Move node (node)
5081	Edit	Move node (node)
5082	Edit	Delete DIALOG (flownode)
5082	Edit	Move node (node)
5083	Edit	Add DIALOG (flownode)
5084	Edit	Move node (node)
5085	Edit	Connect node (flownode)
5086	Edit	Move node (node)
5088	Edit	Add ACT (flownode)
5088	Edit	Add ACT (flownode)
5089	Edit	Move node (node)
5090	Edit	Connect node (flownode)
5091	Edit	Connect node (flownode)
5091	Edit	Move node (node)
5094	Edit	Connect node (flownode)
5095	Edit	Connect node (flownode)
5096	Edit	Move node (node)
5097	Edit	Move node (node)
5098	Edit	Move node (node)
5099	Edit	Move node (node)
5115	Edit	Edit ACT (flownode)
5134	Edit	Delete ACT (flownode)
5138	Edit	Move node (node)
5145	Edit	Connect node (flownode)
5148	Edit	Disconnect node (flownode)
5151	Edit	Connect node (flownode)
5153	Edit	Move node (node)
5154	Edit	Move node (node)
5188	Edit	Edit DIALOG (flownode)
5192	Edit	Move node (node)
5310	Edit	Edit DIALOG (flownode)
5335	Edit	Move node (node)
5336	Edit	Move node (node)
5375	Edit	Edit ACT (flownode)
5416	Edit	Edit ACT (flownode)
5465	Edit	Edit ACT (flownode)
5505	Edit	Move node (node)
5508	Edit	Delete FORK (flownode)
5511	Edit	Delete ACT (flownode)
5513	Edit	Connect node (flownode)
5519	Edit	Move node (node)
5525	Edit	Edit CONDITION (flownode)
5556	Edit	Edit ACT (flownode)
5557	Edit	Move node (node)
5561	Edit	Move node (node)
5566	Edit	Connect node (flownode)
5573	Edit	Move node (node)
5588	Edit	Disconnect node (flownode)
5592	Edit	Add FORK (flownode)
5594	Edit	Move node (node)
5595	Edit	Connect node (flownode)
5595	Edit	Move node (node)
5597	Edit	Connect node (flownode)
5598	Edit	Move node (node)
5604	Edit	Add ACT (flownode)
5605	Edit	Move node (node)
5605	Edit	Move node (node)
5606	Edit	Move node (node)
5607	Edit	Connect node (flownode)
5650	Edit	Edit ACT (flownode)
5651	Edit	Move node (node)
5653	Edit	Move node (node)
5654	Edit	Move node (node)
5657	Edit	Move node (node)
5658	Edit	Move node (node)
5661	Edit	Delete FORK (flownode)
5666	Edit	Move node (node)
5667	Edit	Move node (node)
5669	Edit	Move node (node)
5670	Edit	Move node (node)
5671	Edit	Move node (node)
5678	Edit	Move node (node)
5681	Edit	Move node (node)
5683	Edit	Move node (node)
5696	Edit	Add FORK (flownode)
5697	Edit	Move node (node)
5700	Edit	Connect node (flownode)
5700	Edit	Move node (node)
5703	Misc	Play (debug)
5705	Misc	Stop play (forced)
5722	Edit	Move node (node)
5726	Edit	Add ACT (flownode)
5727	Edit	Move node (node)
5729	Edit	Connect node (flownode)
5731	Edit	Connect node (flownode)
5733	Edit	Move node (node)
5734	Edit	Move node (node)
5737	Edit	Add ACT (flownode)
5738	Edit	Move node (node)
5740	Edit	Connect node (flownode)
5775	Edit	Edit ACT (flownode)
5777	Edit	Move node (node)
5782	Edit	Move node (node)
5783	Edit	Move node (node)
5784	Edit	Move node (node)
5788	Edit	Move node (node)
5837	Edit	Edit ACT (flownode)
5846	Edit	Move node (node)
5898	Edit	Edit DIALOG (flownode)
5911	Edit	Edit ACT (flownode)
5948	Edit	Move node (node)
5954	Edit	Edit DIALOG (flownode)
5957	Edit	Move node (node)
5958	Edit	Move node (node)
5980	Edit	Move node (node)
5981	Edit	Move node (node)
5983	Edit	Move node (node)
5989	Edit	Edit DIALOG (flownode)
5991	Edit	Move node (node)
5993	Edit	Connect node (flownode)
5994	Edit	Move node (node)
5996	Edit	Move node (node)
5998	Edit	Move node (node)
6004	Edit	Disconnect node (flownode)
6007	Edit	Disconnect node (flownode)
6008	Edit	Move node (node)
6009	Edit	Move node (node)
6010	Edit	Add DIALOG (flownode)
6011	Edit	Move node (node)
6013	Edit	Connect node (flownode)
6014	Edit	Move node (node)
6016	Edit	Move node (node)
6043	Edit	Move node (node)
6101	Edit	Edit ACT (flownode)
6129	Edit	Edit DIALOG (flownode)
6426	Edit	Edit ACT (flownode)
6447	Edit	Edit ACT (flownode)
6448	Edit	Move node (node)
6478	Edit	Edit ACT (flownode)
6508	Edit	Edit ACT (flownode)
6511	Edit	Move node (node)
6539	Edit	Edit DIALOG (flownode)
6559	Edit	Move node (node)
6562	Edit	Disconnect node (flownode)
6567	Edit	Disconnect node (flownode)
6568	Edit	Disconnect node (flownode)
6570	Edit	Disconnect node (flownode)
6571	Edit	Delete FORK (flownode)
6573	Edit	Connect node (flownode)
6575	Edit	Connect node (flownode)
6577	Edit	Connect node (flownode)
6578	Edit	Move node (node)
6579	Edit	Move node (node)
6580	Edit	Move node (node)
6582	Edit	Connect node (flownode)
6584	Edit	Move node (node)
6585	Edit	Move node (node)
6586	Edit	Move node (node)
6587	Edit	Delete FORK (flownode)
6589	Edit	Move node (node)
6591	Edit	Move node (node)
6592	Edit	Move node (node)
6596	Edit	Move node (node)
6597	Edit	Move node (node)
6600	Edit	Connect node (flownode)
6601	Edit	Connect node (flownode)
6603	Edit	Move node (node)
6604	Edit	Move node (node)
6606	Edit	Move node (node)
6626	Edit	Edit ACT (flownode)
6627	Edit	Move node (node)
6636	Edit	Edit DIALOG (flownode)
6641	Edit	Add DIALOG (flownode)
6642	Edit	Move node (node)
6643	Edit	Connect node (flownode)
6735	Edit	Edit DIALOG (flownode)
6740	Edit	Move node (node)
6751	Edit	Move node (node)
6799	Edit	Edit DIALOG (flownode)
6807	Edit	Move node (node)
6820	Edit	Edit DIALOG (flownode)
6821	Edit	Move node (node)
6822	Edit	Move node (node)
6824	Edit	Move node (node)
6841	Edit	Move node (node)
6843	Edit	Move node (node)
6844	Edit	Move node (node)
6847	Edit	Connect node (flownode)
6849	Edit	Connect node (flownode)
6851	Edit	Connect node (flownode)
6851	Edit	Move node (node)
6853	Edit	Connect node (flownode)
6856	Edit	Move node (node)
6857	Edit	Move node (node)
6859	Edit	Move node (node)
6862	Edit	Move node (node)
6863	Edit	Move node (node)
6865	Edit	Move node (node)
6867	Edit	Move node (node)
6869	Edit	Move node (node)
6870	Edit	Move node (node)
6874	Misc	Save
6895	Misc	Play
6933	Misc	Stop play
6935	Misc	Play
6960	Misc	Stop play (forced)
6968	Edit	Edit ACT (flownode)
6971	Misc	Save
6975	Edit	Move node (node)
6979	Edit	Edit ACT (flownode)
6980	Misc	Save
6993	Misc	Play
7043	Misc	Stop play
7049	Misc	Play
7075	Misc	Stop play (forced)
7080	Edit	Move node (node)
7152	Edit	Move node (node)
7162	Edit	Move node (node)
7163	Edit	Move node (node)
7165	Edit	Move node (node)
7167	Edit	Move node (node)
7169	Edit	Move node (node)
7177	Edit	Edit ACT (flownode)
7178	Edit	Move node (node)
7189	Edit	Edit ACT (flownode)
7194	Edit	Move node (node)
7195	Edit	Move node (node)
7225	Edit	Edit ACT (flownode)
7318	Edit	Edit ACT (flownode)
7367	Edit	Edit DIALOG (flownode)
7369	Edit	Move node (node)
7370	Edit	Move node (node)
7371	Edit	Move node (node)
7372	Edit	Move node (node)
7373	Edit	Move node (node)
7377	Edit	Move node (node)
7390	Edit	Edit ACT (flownode)
7393	Edit	Move node (node)
7398	Edit	Move node (node)
7400	Edit	Move node (node)
7419	Edit	Edit ACT (flownode)
7420	Edit	Move node (node)
7422	Edit	Add FORK (flownode)
7423	Edit	Move node (node)
7424	Edit	Disconnect node (flownode)
7425	Edit	Connect node (flownode)
7425	Edit	Move node (node)
7426	Edit	Move node (node)
7428	Edit	Move node (node)
7429	Edit	Connect node (flownode)
7430	Edit	Move node (node)
7432	Edit	Disconnect node (flownode)
7433	Edit	Connect node (flownode)
7435	Edit	Move node (node)
7435	Edit	Move node (node)
7436	Edit	Move node (node)
7437	Edit	Move node (node)
7442	Edit	Add ACT (flownode)
7443	Edit	Move node (node)
7444	Edit	Connect node (flownode)
7455	Edit	Edit ACT (flownode)
7456	Edit	Move node (node)
7457	Misc	Save
7483	Misc	Play
7518	Misc	Stop play
7524	Edit	Move node (node)
7526	Edit	Move node (node)
7528	Edit	Move node (node)
7533	Edit	Delete SET (flownode)
7540	Undo	Delete SET (flownode)
7550	Edit	Delete SET (flownode)
7552	Edit	Delete SET (flownode)
7554	Edit	Connect node (flownode)
7555	Edit	Connect node (flownode)
7570	Misc	Play
7602	Misc	Stop play
7606	Edit	Move node (node)
7689	Edit	Image offset changed Coffin
7694	Edit	Move node (node)
7695	Edit	Move node (node)
7874	Edit	Edit ACT (flownode)
7875	Misc	Save
7877	Edit	Move node (node)
7879	Edit	Move node (node)
7987	Edit	Edit ACT (flownode)
7988	Misc	Save
8005	Misc	Play
8020	Misc	Stop play
8028	Edit	Move node (node)
8030	Edit	Move tree (node)
8031	Edit	Move node (node)
8036	Edit	Add ACT (flownode)
8037	Edit	Add DIALOG (flownode)
8038	Edit	Move node (node)
8039	Edit	Connect node (flownode)
8040	Edit	Move node (node)
8042	Edit	Disconnect node (flownode)
8043	Edit	Connect node (flownode)
8044	Edit	Move node (node)
8046	Edit	Move tree (node)
8048	Edit	Move node (node)
8049	Edit	Move node (node)
8050	Edit	Move node (node)
8053	Edit	Move tree (node)
8054	Edit	Connect node (flownode)
8106	Edit	Delete 2 nodes (flownode)
8126	Edit	Add CONDITION (flownode)
8127	Edit	Disconnect node (flownode)
8133	Undo	Disconnect node (flownode)
8133	Undo	Add CONDITION (flownode)
8135	Edit	Move node (node)
8138	Edit	Disconnect node (flownode)
8139	Edit	Disconnect node (flownode)
8143	Edit	Add SET (flownode)
8144	Edit	Move node (node)
8146	Edit	Connect node (flownode)
8147	Edit	Connect node (flownode)
8149	Edit	Connect node (flownode)
8150	Edit	Move node (node)
8157	Edit	Edit SET (flownode)
8159	Edit	Move node (node)
8163	Misc	Save
8173	Edit	Move node (node)
8174	Edit	Disconnect node (flownode)
8178	Edit	Add SET (flownode)
8179	Edit	Move node (node)
8180	Edit	Connect node (flownode)
8182	Edit	Connect node (flownode)
8182	Edit	Move node (node)
8187	Edit	Edit SET (flownode)
8188	Edit	Move node (node)
8189	Misc	Save
8195	Edit	Move node (node)
8195	Edit	Disconnect node (flownode)
8196	Edit	Disconnect node (flownode)
8199	Edit	Add SET (flownode)
8200	Edit	Move node (node)
8201	Edit	Connect node (flownode)
8202	Edit	Connect node (flownode)
8203	Edit	Connect node (flownode)
8203	Edit	Move node (node)
8204	Edit	Move node (node)
8209	Edit	Edit SET (flownode)
8209	Misc	Save
8230	Edit	Image offset changed Coffin
8235	Edit	Move node (node)
8237	Edit	Add CONDITION (flownode)
8238	Edit	Move node (node)
8240	Edit	Connect node (flownode)
8240	Edit	Move node (node)
8241	Edit	Move node (node)
8249	Edit	Edit CONDITION (flownode)
8251	Edit	Connect node (flownode)
8251	Edit	Move node (node)
8254	Edit	Add ACT (flownode)
8254	Edit	Move node (node)
8256	Edit	Connect node (flownode)
8300	Edit	Edit ACT (flownode)
8300	Misc	Save
8302	Edit	Move node (node)
8322	Misc	Play
8367	Misc	Load chapter 0
8369	Misc	Load chapter 1
8384	Misc	Load chapter 0
8386	Misc	Load chapter 1
8452	Misc	Load chapter 0
8456	Misc	Stop play
8456	Misc	Load chapter 1
8548	Edit	Zoom changed Alex
8548	Edit	Image offset changed Alex
8548	Edit	Set sprite for Alex
8551	Edit	Zoom changed Alex
8552	Edit	Move Alex
8554	Edit	Move Door
8568	Edit	Zoom changed Bridgette
8568	Edit	Image offset changed Bridgette
8568	Edit	Set sprite for Bridgette
8571	Edit	Zoom changed Bridgette
8572	Edit	Image offset changed Bridgette
8573	Edit	Move Bridgette
8574	Edit	Move Bridgette
8576	Edit	Image offset changed Bridgette
8577	Edit	Image offset changed Bridgette
8579	Edit	Move Bridgette
8584	Edit	Move Cal
8611	Edit	Zoom changed Cal
8611	Edit	Image offset changed Cal
8611	Edit	Set sprite for Cal
8613	Edit	Move Cal
8617	Edit	Zoom changed Cal
8618	Edit	Move Cal
8621	Edit	Move Door
8622	Edit	Move Cal
8624	Misc	Save
8642	Edit	Move Cal
8656	Misc	Play
8752	Misc	Load chapter 0
8758	Misc	Stop play
8758	Misc	Load chapter 1
8766	Misc	Quit
